state,new_listing,title,condition,inventory,sku,make,model,description,year,finish,price,product_type,subcategory_1,subcategory_2,product_image_1,product_image_2,product_image_3,product_image_4,product_image_5,product_image_6,product_image_7,product_image_8,product_image_9,product_image_10,product_image_11,product_image_12,product_image_13,product_image_14,product_image_15,product_image_16,product_image_17,product_image_18,product_image_19,product_image_20,product_image_21,product_image_22,product_image_23,product_image_24,product_image_25,video_url,offers_enabled,shipping_price,combine_and_save_shipping_price,local_pickup,shipping_profile_name,seller_cost,tax_exempt,upc,upc_does_not_apply,published_at,url,prop_65_warning,id,preorder_lead_time,preorder_ship_date,bump_rate,bump_rate_recommendation,sold_as_is,country_of_origin
live,false,Eleca Strat autographed Paul Mccartney 2005 Black,Very Good,1,rev-23862009,Eleca,Strat autographed Paul Mccartney,"This is an electric guitar signed by Paul McCartney authenticated by ""World Wide Autographs Inc."" on November 28th 2005, guitar comes with COA",2005,Black,1299.99,electric-guitars,,,https://images.reverb.com/image/upload/s--YYb9U0B---/v1557891257/mx3vctql19z7prxvaywx.jpg,https://images.reverb.com/image/upload/s--N8h4W-o---/v1557891190/pqjjbs5vbk0cffmobryi.jpg,https://images.reverb.com/image/upload/s--yWsDq1f2--/v1557891213/xdvqambsy007vfkuyy51.jpg,https://images.reverb.com/image/upload/s--YzJaK2fU--/v1557891236/d2lhdg7kklg4qv5xrvsh.jpg,https://images.reverb.com/image/upload/s--ZCY2El-t--/v1557891294/dzk1xv5ut0hauqf2s2qx.jpg,,,,,,,,,,,,,,,,,,,,,,true,60.0,,true,,,false,,false,2019-05-15T03:37:20Z,https://reverb.com/item/23862009-eleca-strat-autographed-paul-mccartney-2005-black,,23862009,,,0.5,4.5,false,ID
live,false,"Caparison Orbit FX White 2019 ""Queensryche"" Free Shipping (Floor Model)",Brand New,1,rev-32994340,Caparison,"Orbit FX ""Queensryche""","<p>I have been playing the Caparison Orbit FX live exclusively for approximately 5 years with ""Queensryche"". I am very happy to be carrying these guitars NEW at my shop! Please contact me with any questions or to schedule an appointment to try out any of our Caparisons or other guitars at our showroom in downtown Seattle WA, </p><p>-Parker Lundgren of ""Queensryche"" and ""Diablo Guitars""</p><p>Scorching tones and a full 5-octave stretch (and then some) await you in the Caparison Orbit FX. From stem to stern, this aggressive 6-string is built for balance, speed, and precision. The timeless neck-through design sees a major upgrade in the form of Caparison’s 5-piece maple and walnut neck, whose seamless transition from headstock to body, along with a great-playing compound-radius ebony fingerboard, offers unbridled sustain and unbelievable fret-hand comfort. The Orbit FX’s premium string-through mahogany body loaded with tonally distinct Caparison humbuckers (PH-R bridge, offset SH-27F neck) equip this axe for classic rock to modern progressive metal. Together, a black TUSQ nut and Gotoh fixed bridge deliver unflappable tuning precision. Signature clock fingerboard inlays and devil’s-tail headstock add an extra dose of those coveted Caparison visuals.</p>    Caparison contemporizes the iconic asymmetrical offset “V” in their Orbit FX electric guitar. Modern-day features include a 27-fret, compound-radius ebony fingerboard, a rock-solid 5-piece hardwood neck with a fast oil finish, and an extremely balanced body design. Take it from guitarists at Sweetwater: If you’re a fan of this classic design, you’re definitely going to want to get your hands on the Orbit FX.<br>  <br>Playing the Orbit FX, your hands won’t know where the neck ends and the body begins. This is thanks to a seamless neck-through design and graduated oil and gloss finishes which converge somewhere around the 15th fret. The result is an unbelievable playing experience all the way up to the 27th fret and a cosmetic treat every time you pick up the guitar.<br><br>Players who want the bare minimum standing in the way of great tone will delight in the Orbit FX’s streamlined tonal armament. The lightning-fast Switchcraft 3-way toggle unlocks hard-edged classic crunchy rhythms to laser-focused leads at a moment’s notice. Pickups are wired in parallel at position 2 for maximum output to drive your amp input.<br><br><p><b>Specifications:</b></p><ul><li><b>Make: Caparison</b></li><li><b>Model: Orbit FX</b></li><li><b>Year of Manufacture : 2019</b></li><li><b>Country of Origin: Japan</b></li><li><b>Finish: White</b></li><li><b>Condition : BRAND NEW</b></li><li><b>Body Type: Solid-Body Asymmetrical “V”</b></li><li><b>Body Wood: Mahogany</b></li><li><b>Neck : 5-Piece Maple/Walnut</b></li><li><b>Neck Joint: Seamless Neck-Through</b></li><li><b>Neck Profile: Caparison Soft D</b></li><li><b>Fingerboard Radius: 13.77”-15.75” Compound Radius</b></li><li><b>Fingerboard :Ebony</b></li><li><b>Nut Width: 1.653”</b></li><li><b>Inlays: Oval Clocks</b></li><li><b>Frets: 27 Jumbo Nickel Silver</b></li><li><b>Scale Length: 25.5”</b></li><li><b>Nut : Black Tusq</b></li><li><b>Hardware: Black</b></li><li><b>Tuning Machines : Gotoh SG381-07 MG-T</b></li><li><b>Bridge: Gotoh GE-103B-T String-thru Bridge</b></li><li><b>Pickups : (N) Caparison SH-27F Strat-sized Humbucker (B) Caparison PH-R Humbucker</b></li><li><b>Controls: 1 Master Volume</b></li><li><b>Switch: 3-Way</b></li><li><b>Knobs: Black Dome Knob</b></li><li><b>Case : Caparison Hardshell Case</b></li></ul>",2019,White,3329.99,electric-guitars,solid-body,,https://images.reverb.com/image/upload/s--AzSGSkoG--/v1585133206/pxmsylbgzbldsgjhfono.jpg,https://images.reverb.com/image/upload/s--VbeshKYp--/v1585133201/yxygbdsnnjjimo8z6e3k.jpg,https://images.reverb.com/image/upload/s--6v2eXT79--/v1585133203/uwxrflwzewjwsgd6ryos.jpg,https://images.reverb.com/image/upload/s--D8vPPbOx--/v1585133212/ohk6kn62catjoruqfoko.jpg,https://images.reverb.com/image/upload/s--8qiLdhg3--/v1585133217/tee3alncg1zaixtq22iu.jpg,https://images.reverb.com/image/upload/s--G5cmZhzY--/v1585133223/cdnwfskjwsqcos61mmab.jpg,https://images.reverb.com/image/upload/s--_-p_JQTf--/v1585133235/njzqq26no9jbxrrfnx9g.jpg,,,,,,,,,,,,,,,,,,,https://youtu.be/qqI4OfolPuo,true,85.0,,true,Large Guitars 20x8x50,,false,,true,2020-03-25T10:48:41Z,https://reverb.com/item/32994340-caparison-orbit-fx-white-2019-queensryche-free-shipping-floor-model,,32994340,,,0.5,5.0,false,JP
live,false,Gibson SG Les Paul Custom 3-Pickup 61' / 62' Reissue Aged White 1987,Excellent,1,rev-33631447,Gibson,SG Les Paul Custom 3-Pickup 61' / 62' Reissue,"<p>Gibson SG Les Paul Custom 61’ Reissue in made in 1987 in Classic White finish. This guitar features a mahogany body, mahogany neck and bound ebony fretboard. The fretboard has mother of pearl block inlays and a matching split diamond inlay on the headstock. The original gold hardware is in excellent condition and the original tuners are in fantastic shape which are commonly replaced for Grovers. The original pots date to 1986 and the serial number dates to 1987. This guitar comes equipped with 3 matching Gibson patent stamped Tim Shaw Humbuckers controlled by 2 volume and 2 tone controls with a 3-way switch. The guitar is all original with the exception of an upgraded Tone-Pros locking bridge which helps stabilize tuning. &nbsp;</p><p>This guitar is in excellent condition with the exception of some small surface scratches and some very light discoloration from the original Alpine white finish from aging naturally. This guitar has been freshly setup with .10-.46 gauge strings and setup in standard A440 tuning. Comes with original hardshell case.</p><p><b>Specifications:</b></p><p><b></b><br></p><ul><li><b>Make: Gibson</b></li><li><b>Model: Les Paul SG</b></li><li><b>Year: 1987</b></li><li><b>Finish: Vintage White</b></li><li><b>Country of Origin: USA</b></li><li><b>Serial# 80097575</b></li><li><b>Condition: EXCELLENT</b></li><li><b>Weight: 7lbs 14oz</b></li><li><b>Body Type: Solid</b></li><li><b>Body Wood: Mahogany</b></li><li><b>Scale Length: 24.75”</b></li><li><b>Neck Joint: Set Neck</b></li><li><b>Neck Wood: Mahogany</b></li><li><b>Fingerboard: Ebony</b></li><li><b>Fingerboard Radius: 12.0”</b></li><li><b>Neck Profile: 60’s</b></li><li><b>Inlays: Block Mother Of Pearl</b></li><li><b>Nut: Original</b></li><li><b>Frets: 22</b></li><li><b>Pickups: 3 Gibson Pat Stamped Humbuckers</b></li><li><b>Controls: 2 Volume 2 Tone</b></li><li><b>Switch: 3-Way</b></li><li><b>Hardware: Gold Hardware</b></li><li><b>Tuning Machines: Gibson Kluson Deluxe</b></li><li><b>Bridge: Tone Pros Locking ABR-1</b></li><li><b>Pick-guard: 3-Ply Custom</b></li><li><b>Knobs: Top hats</b></li><li><b>String Gauge: .10-.46</b></li><li><b>Case: Original Hardshell Case</b></li></ul>",1987,Aged White,4999.99,electric-guitars,solid-body,,https://images.reverb.com/image/upload/s--T_Yg7UkM--/v1632167002/t9ufo7cci6vyubq4nzba.jpg,https://images.reverb.com/image/upload/s--4CF6YiLC--/v1632166863/e6fzfclfoz3f6u23hsyh.jpg,https://images.reverb.com/image/upload/s--apbXoWdM--/v1632166997/gvjplaqsfxzjgoiwtqbg.jpg,https://images.reverb.com/image/upload/s--_sawUuEK--/v1632166841/mkmhjildiqlm0gmtthuk.jpg,https://images.reverb.com/image/upload/s--KxML6jEM--/v1632166845/sbobwmlajxfs3w0q7zvh.jpg,https://images.reverb.com/image/upload/s--yLvvJLFb--/v1632166835/msfpsxyluqw5ersinva2.jpg,https://images.reverb.com/image/upload/s--vJBFUGmb--/v1632166839/eayj4szjppasuauuf38l.jpg,https://images.reverb.com/image/upload/s--bHpij2Y4--/v1632166848/busawnmycgo9tcdwdy4e.jpg,https://images.reverb.com/image/upload/s--xD-J2njE--/v1632166857/zul7afvpg1d1mifc8sn0.jpg,https://images.reverb.com/image/upload/s--nypMYtIL--/v1632166854/gnosyeu95wsjugtryr23.jpg,https://images.reverb.com/image/upload/s--Dj75yWpv--/v1632166852/fbasua31p7vph5vhwzzr.jpg,https://images.reverb.com/image/upload/s--zfvwbkH3--/v1589324252/wvsyjviwizrp6tlaowz6.jpg,https://images.reverb.com/image/upload/s--YGItsH5K--/v1589324251/s0pvviwrq3ekwxeln0ih.jpg,https://images.reverb.com/image/upload/s--PwYmGPxX--/v1589324248/ighgzi3hlsebvvrishrc.jpg,https://images.reverb.com/image/upload/s--hGgIfIea--/v1632166849/w0ksrezbosgcuxr78zb7.jpg,https://images.reverb.com/image/upload/s--lJyDt3f0--/v1589324254/pjeh2czirc0pfkgdkfx1.jpg,,,,,,,,,,,true,75.0,,true,Guitars 18x6x45,,false,,false,2020-05-12T22:59:17Z,https://reverb.com/item/33631447-gibson-sg-les-paul-custom-3-pickup-61-62-reissue-aged-white-1987,,33631447,,,0.5,2.0,false,US
live,false,"Diablo Guitars T-Shirt Sizes S-XL ""Diablo Guitars Axes of Evil EST.666"" Devil Work-Shirt  2020 Black",Brand New,21,rev-36669335,Diablo Guitars,"T-Shirt ""Diablo Guitars Axes of Evil EST.666"" Devil Work-Shirt","Diablo Guitars ""Work-Shirt"" style T-shirt with small logo on front left of shirt and full size back logo in biker patch style logo. Logo reads ""Diablo Guitars"" top ""Axes of Evil"" bottom and EST. 666 on sides of Diablo Guitars Devil.&nbsp;<br><br>These T-shirts are currently available in size Small, Medium, Large and Extra Large&nbsp;<br><br>Check out our other listings for the Hoodie version of this design as well as other T-shirts and sizes!<br><br>Price includes free shipping with in the United States!",2020,Black,25.0,accessories,merchandise,,https://images.reverb.com/image/upload/s--DxiKxIvk--/v1604095254/ngv2ev0ke2m8lldiuydw.jpg,https://images.reverb.com/image/upload/s--qu7or4tI--/v1604095338/wvms2iqkcf3ttbm5cmk1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,false,0.0,,false,,,false,,true,2020-10-30T22:08:26Z,https://reverb.com/item/36669335-diablo-guitars-t-shirt-sizes-s-xl-diablo-guitars-axes-of-evil-est-666-devil-work-shirt-2020-black,,36669335,,,0.5,5.0,false,US
live,false,"Diablo Guitars Zip-Up Hoodie ""Diablo Guitars Axes of Evil EST.666"" ""Evil MotherTrucker"" Sleeve 2020",Brand New,34,rev-36669502,Diablo Guitars,"Zip-Up Hoodie ""Diablo Guitars Axes of Evil EST.666"" ""Evil MotherTrucker"" Sleeve","This is our classic hoodie design that has became a staple for our shop since we first introduced them in the Seattle area. Now available $45 with free shipping within the U.S or $12 international shipping. Available in sizes small-XXXL&nbsp;<br><br><i>""Make friends at the supermarket, intimidate your co-workers and impress the neighbors with your Diablo Guitar’s “Axes of Evil” Est. 666 Hoodie with “Evil Mothertrucker” on sleeve. Everyone will know that you own cool guitars and that you are not to be messed with!""</i>",2020,Black,45.0,accessories,merchandise,,https://images.reverb.com/image/upload/s--tzANjSR0--/v1604095887/adkmpj2freb8rjipagkp.jpg,https://images.reverb.com/image/upload/s--lUbaTpcq--/v1604095909/u3nilillyk2d0fd0g2qr.jpg,https://images.reverb.com/image/upload/s--jaMt72LQ--/v1604095929/zaxyvtqvbb5q2p3tnbwe.jpg,https://images.reverb.com/image/upload/s--BLDnooQm--/v1604095967/gwmqd7k4zssanvnc7mct.jpg,https://images.reverb.com/image/upload/s--gw3Awzlv--/v1604095985/lbhc66sxw43nfypjospm.jpg,https://images.reverb.com/image/upload/s--jo2TfsTB--/v1604096007/gv3iyixn0m7qxbbmvncc.jpg,https://images.reverb.com/image/upload/s--Jfabhn9N--/v1604096132/kqdfkuwhjloat9mgxtbw.jpg,,,,,,,,,,,,,,,,,,,,true,0.0,,false,,,false,,true,2020-10-30T22:23:26Z,https://reverb.com/item/36669502-diablo-guitars-zip-up-hoodie-diablo-guitars-axes-of-evil-est-666-evil-mothertrucker-sleeve-2020,,36669502,,,0.5,5.0,false,US
live,false,"Diablo Guitars ""Hearse"" T-Shirt  2020 Black",Brand New,33,rev-36669598,Diablo Guitars,"""Hearse"" T-Shirt","Diablo Guitars ""Hearse"" T-Shirt available in sizes Small-Extra Large free shipping within the U.S!<br><br><i>It's a little known fact that Diablo Guitar's daily driver company vehicle is a black Cadillac Hearse. What better way to pickup and deliver guitars and packages than with the aid of coffin rollers and plenty of ample space. The Diablo Guitar's ""Hearse"" T-Shirt and Hoodies are an exaggerated illustration of the Diablo Hearse created by Seattle local artist Jim Koch and printed by Ben Axeman at Screenprint Northwest. Ben suggested a silver metallic color in Jim's illustration to accentuate the highlights in Jim's badass drawing and we are very happy with how these shirts and hoodies turned out!</i>",2020,Black,25.0,accessories,merchandise,,https://images.reverb.com/image/upload/s--uqP1dkNH--/v1604096936/v20rtcqhcuxa8tb0t8z9.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,false,0.0,,false,,,false,,true,2020-10-30T22:31:16Z,https://reverb.com/item/36669598-diablo-guitars-hearse-t-shirt-2020-black,,36669598,,,0.5,5.0,false,US
live,false,"Diablo Guitars  Hoodie ""Hearse"" Logo 2020 Black",Brand New,39,rev-36670889,Diablo Guitars,"Hoodie ""Hearse"" Logo","Diablo Guitars ""Hearse"" Hoodie available in sizes Small-Extra Large<br><br><i>It's a  little known fact that Diablo Guitar's daily driver company vehicle is a black Cadillac Hearse. What better way to pickup and deliver guitars and packages than with the aid of coffin rollers and plenty of ample space. The Diablo Guitar's ""Hearse"" T-Shirt and Hoodies are an exaggerated illustration of the Diablo Hearse created by Seattle local artist Jim Koch and printed by Ben Axeman at Screenprint Northwest. Ben suggested a silver metallic color in Jim's illustration to accentuate the highlights in Jim's badass drawing and we are very happy with how these shirts and hoodies turned out!</i>",2020,Black,45.0,accessories,merchandise,,https://images.reverb.com/image/upload/s--eejkHVJ---/v1604098364/zdb2tvflvjuqf9xcezrc.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,false,0.0,,false,,,false,,true,2020-10-30T22:54:56Z,https://reverb.com/item/36670889-diablo-guitars-hoodie-hearse-logo-2020-black,,36670889,,,0.5,5.0,false,US
live,false,"Diablo Guitars Men's Tank Top ""Diablo Guitars Axes of Evil EST.666"" 2020 Black",Brand New,37,rev-36671108,Diablo Guitars,"Men's Tank Top ""Diablo Guitars Axes of Evil EST.666""","Diablo Guitars ""Diablo Guitars Axes of Evil EST.666"" Tank Top. <br><br>Black with white logo on front side available in sizes Small-XXL<br><br>Free Shipping with in the U.S",2020,Black,25.0,accessories,merchandise,,https://images.reverb.com/image/upload/s--rd8fN4Cb--/v1604099278/qphfwmz1ibo60k7ihj5h.jpg,https://images.reverb.com/image/upload/s--vFSKx_es--/v1604099273/ks3ckjorhkczvujhkjxr.jpg,https://images.reverb.com/image/upload/s--WRP16Q-u--/v1604099290/pvdniozqekhihesnpc0j.jpg,,,,,,,,,,,,,,,,,,,,,,,,true,0.0,,false,,,false,,true,2020-10-30T23:14:15Z,https://reverb.com/item/36671108-diablo-guitars-men-s-tank-top-diablo-guitars-axes-of-evil-est-666-2020-black,,36671108,,,0.5,5.0,false,US
live,false,"Diablo Guitars Trucker Hat ""Diablo Guitars Axes of Evil"" 2020 Black",Brand New,5,rev-36671180,Diablo Guitars,"Trucker Hat ""Diablo Guitars Axes of Evil""","Diablo Guitars Trucker Hat Black with white logo. One size fits all, and free shipping!",2020,Black,18.0,accessories,merchandise,,https://images.reverb.com/image/upload/s--YxKj7urt--/v1604100023/rg7x572tjtbo218idt9m.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,false,5.0,,false,,,false,,true,2020-10-30T23:22:25Z,https://reverb.com/item/36671180-diablo-guitars-trucker-hat-diablo-guitars-axes-of-evil-2020-black,,36671180,,,0.5,5.0,false,US
live,false,"Diablo Guitars ""Diablo Guitars Axes of Evil"" Henry Heller Deluxe Electric Gig-Bag",Brand New,30,rev-36671348,Diablo Guitars,Henry Heller Deluxe Gig-Bag,"<p>Diablo Guitars Electric Guitar Gig-bag made by Henry Heller also available in an acoustic guitar version for the same price.&nbsp;</p><p>-Henry Heller deluxe gig bags are reinforced with side gussets, plush interior, and closed cell high density protective foam padding. Special high quality, embroidery of stylish Diablo Guitars logo.</p>",2020,Black,59.99,accessories,bass-cases,,https://images.reverb.com/image/upload/s--n4vwI_sq--/v1604100824/ooxzkjgxk8bexp6swprf.jpg,https://images.reverb.com/image/upload/s--W6V1fCtf--/v1604100816/gfjkdesqdxndk9xmpmv5.jpg,https://images.reverb.com/image/upload/s--_nfJ8nAl--/v1604100835/tgta8wekvv3zvv0qbj9w.jpg,https://images.reverb.com/image/upload/s--E4Hu6r9_--/v1604100840/dnzuohvuerwwmo1cpfau.jpg,https://images.reverb.com/image/upload/s--w-pHioa---/v1604100850/infgqtmuhfkdv2vht1j0.jpg,,,,,,,,,,,,,,,,,,,,,,false,10.0,,true,,,false,,true,2020-10-30T23:39:23Z,https://reverb.com/item/36671348-diablo-guitars-diablo-guitars-axes-of-evil-henry-heller-deluxe-electric-gig-bag,,36671348,,,0.5,5.0,false,US
